Book_Name,Book_Published_Date,Book_Author,Book_Stock_availability,Book_Price,Book_Publisher,Book_Language,Book_Dimensions,Book_Catagory,Book_Second_Author
"Saga, Vol. 3","Mar 25, 2014",Brian K Vaughan and,In Stock.,$10.99,"Image Comics; First Edition edition (March 25, 2014)",English,6.4 x 0.6 x 10 inches,Image Comics & Graphic Novels,Fiona Staples
Red Rising,"Jan 28, 2014",Pierce Brown,In Stock.,$13.68,Del Rey (2014),English,6.4 x 1.2 x 9.5 inches,Dystopian Fiction,
March: Book Three,"Aug 2, 2016",John Lewis and,In Stock.,$10.95,"Top Shelf Productions; First Edition edition (August 2, 2016)",English,6.5 x 0.7 x 9.5 inches,Educational & Nonfiction Graphic Novels,Andrew Aydin
Heritage,"Oct 21, 2014",Sean Brock and,In Stock.,$20.33,"Artisan; 1st Edition edition (October 21, 2014)",English,8.5 x 1.2 x 11.2 inches,Sustainable Agriculture,Peter Frank Edwards
Excluding adult items.Show all results,,contact us,,,,,,,
The Moon Is a Harsh Mistress,"Jun 15, 1997",Robert A. Heinlein,In Stock.,$9.64,"Orb Books; 1st edition (June 15, 1997)",English,5.9 x 1 x 8.3 inches,Epic Fantasy,
Hyperion (Hyperion Cantos),"Feb 1, 1990",Dan Simmons,In Stock.,$6.39,"Spectra (March 1, 1990)",English,4.2 x 1.1 x 6.8 inches,Space Operas,
The Dispossessed (Hainish Cycle),"Oct 20, 1994",Ursula K. Le Guin,In Stock.,$6.23,"Harper Voyager; Reprint edition (October 20, 1994)",English,4.2 x 1 x 6.8 inches,Metaphysical & Visionary Fiction,
The Three-Body Problem (Remembrance of Earth's Past),"Nov 11, 2014",Cixin Liu and,In Stock.,$13.48,"Tor Books; Later Ed edition (November 11, 2014)",English,6.4 x 1.3 x 9.6 inches,Chinese Literature,Ken Liu
"Victuals: An Appalachian Journey, with Recipes","Aug 30, 2016",Ronni Lundy and,In Stock.,$18.13,"Clarkson Potter (August 30, 2016)",English,7.7 x 1 x 10.3 inches,"Midwestern U.S. Cooking, Food & Wine",Johnny Autry
At Home in the Whole Food Kitchen: Celebrating the Art of Eating Well,"Oct 21, 2014",Amy Chaplin and,In Stock.,$28.21,"Roost Books; 1st Edition edition (October 21, 2014)",English,8.5 x 1.3 x 10.6 inches,Ayurveda Medicine,Johnny Miller
The Book of Life (All Souls),"Jul 15, 2014",Deborah Harkness,In Stock.,$19.00,"Viking; 1st edition (July 15, 2014)",English,6.4 x 1.6 x 9.2 inches,General Poland Travel Guides,
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),"Apr 17, 2012",E L James,In Stock.,$8.85,"Vintage; Reprint edition (April 17, 2012)",English,5.2 x 1 x 8 inches,Contemporary Women Fiction,
Shadow of Night: A Novel (All Souls Trilogy),"Jul 10, 2012",Deborah Harkness,In Stock.,$10.93,"Viking; First Edition edition (July 10, 2012)",English,6.2 x 1.8 x 9.3 inches,Gothic Romances,
